country_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABW,,,,,,,,,,,,,,,
AFG,7.809,7.83,7.875,7.921,7.915,9.032,10.116,11.184,11.192,11.187,11.71,12.006,14.1,14.008,13.687
AGO,16.595,16.77,16.539,16.464,16.372,16.472,16.572,16.617,16.602,16.497,16.696,15.799,14.124,14.051,14.02
ALB,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.639,11.474,10.785,10.669,10.689
AND,,,,,,,,,,,,,,,
ARE,2.798,2.587,2.323,2.125,1.999,1.793,1.64,2.462,2.236,2.331,4.294,3.105,2.872,2.151,2.16
ARG,7.714,7.18,7.217,7.1,7.268,7.577,8.088,8.347,9.22,9.843,11.461,8.736,6.805,6.139,7.15
ARM,19.523,18.884,17.511,16.576,17.498,18.261,17.617,17.704,18.966,18.304,18.175,15.469,13.451,12.405,12.405
ASM,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,
AUS,5.214,5.083,5.225,5.663,6.078,6.055,5.711,5.592,5.345,5.143,6.394,5.022,3.728,3.668,3.942
AUT,4.883,4.637,4.909,5.367,5.674,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992,5.264,5.2
AZE,5.63,5.42,5.19,4.97,4.91,4.96,5.0,5.0,4.9,5.0,7.24,6.04,5.65,5.64,5.648
BDI,1.615,1.602,1.593,1.584,1.572,1.449,1.352,1.25,1.147,1.043,1.03,1.118,0.909,0.911,0.915
BEL,8.293,7.14,7.542,8.425,8.523,8.482,7.83,7.09,5.941,5.364,5.545,6.248,5.57,5.547,5.7
BEN,1.04,2.647,2.458,2.198,1.952,1.886,1.834,1.691,1.426,1.214,1.518,1.833,1.685,1.641,1.637
BFA,3.725,3.827,3.849,4.054,4.255,4.472,4.598,4.662,4.695,4.493,4.59,4.511,3.828,3.601,3.441
BGD,3.379,3.737,4.07,4.426,4.417,4.397,4.35,4.372,4.439,4.504,5.539,5.457,4.593,3.352,3.635
BGR,10.279,11.26,12.27,12.941,11.424,9.143,7.575,6.164,5.211,4.148,5.037,5.166,4.148,4.319,4.2
BHR,1.13,1.21,1.2,1.184,1.144,1.164,1.19,1.18,1.188,1.217,1.765,1.548,1.265,1.049,1.084
BHS,14.435,14.52,14.02,16.18,13.8,12.0,12.7,9.8,10.0,9.336,12.016,11.078,9.25,8.645,9.049
BIH,27.312,27.582,28.01,27.49,27.517,27.695,25.408,20.527,18.4,15.692,15.868,14.897,12.657,10.668,10.69
BLR,6.052,6.024,5.962,5.942,5.908,5.881,5.844,5.648,4.763,4.165,4.049,3.9,3.574,3.461,3.458
BLZ,8.412,8.424,8.378,8.349,8.244,7.578,7.0,6.596,9.346,9.053,10.763,10.302,8.682,8.278,8.698
BMU,,,,,,,,,,,,,,,
BOL,2.609,2.255,2.066,2.437,2.021,3.111,3.498,3.655,3.519,3.682,7.903,5.089,3.552,3.024,3.274
BRA,8.42,7.578,7.251,7.071,6.755,8.538,11.58,12.792,12.329,11.936,13.697,13.158,9.231,7.947,6.801
BRB,10.69,11.19,11.59,11.55,12.17,9.803,8.247,8.62,8.321,8.41,10.586,11.015,7.261,6.54,6.448
BRN,6.487,6.506,6.571,6.709,6.862,7.703,8.537,9.316,8.7,6.6,7.409,4.905,5.191,5.296,5.18
BTN,3.32,3.23,2.05,2.87,2.63,2.45,2.707,3.027,3.35,2.72,5.03,4.803,5.947,3.126,3.282
BWA,17.86,18.049,17.916,18.167,18.484,18.915,19.328,19.671,19.665,20.094,21.017,23.106,23.615,23.381,23.81
CAF,5.658,5.638,5.58,5.566,5.633,5.775,5.793,5.836,5.825,5.916,6.519,6.701,6.287,6.181,6.253
CAN,8.178,7.637,7.392,7.143,7.023,6.945,7.038,6.426,5.837,5.69,9.657,7.527,5.279,5.415,6.351
CHE,4.808,4.409,4.491,4.747,4.826,4.801,4.918,4.797,4.713,4.394,4.817,5.013,4.122,4.043,4.343
CHI,7.024,7.244,8.028,8.572,8.319,7.928,7.469,6.881,6.344,6.185,6.633,6.643,5.923,5.928,6.031
CHL,8.547,7.492,6.79,6.361,6.761,6.605,6.926,7.257,7.623,7.493,10.934,9.281,8.249,9.013,8.718
CHN,4.53,4.55,4.58,4.6,4.63,4.65,4.56,4.47,4.31,4.56,5.0,4.55,4.98,4.67,4.59
CIV,6.607,7.144,7.223,4.255,3.274,2.573,1.896,3.272,2.852,2.401,2.588,2.623,2.31,2.263,2.273
CMR,4.11,3.988,3.836,3.686,3.534,3.518,3.529,3.573,3.608,3.632,3.881,3.976,3.646,3.607,3.603
COD,4.098,4.317,4.485,4.469,4.436,4.441,4.528,4.613,4.632,4.605,5.355,5.289,4.54,4.469,4.421
COG,19.3,19.435,19.491,19.845,19.696,20.02,20.298,20.737,20.84,20.494,22.286,21.998,20.131,19.919,19.895
COL,11.153,10.288,9.959,9.246,8.799,8.572,8.922,9.086,9.36,10.28,15.983,13.898,10.541,9.591,9.619
COM,4.19,4.12,4.091,3.98,3.984,4.031,4.117,4.049,3.975,3.926,4.468,4.394,3.879,3.833,3.815
CPV,10.67,10.956,11.145,11.398,11.689,11.923,12.085,12.24,12.17,12.123,14.65,13.932,12.239,11.882,11.883
CRI,7.171,9.518,9.11,8.218,8.499,8.415,8.085,7.729,9.01,10.807,16.432,15.139,11.325,8.325,6.936
